x,y
1,5.16
2,7.36
3,8.988
4,10.848
5,13.53
6,14.676
7,15.656
8,18.424
9,21.288
10,23.78
11,25.968
12,25.8
13,27.726
14,32.288
15,33.69
16,35.96
17,40.026
18,42.6
19,37.618
20,42.96
21,46.89
22,49.024
23,48.31
24,54.024
25,57.45
26,51.308
27,52.734
28,60.904
29,57.346
30,62.28
31,68.72
32,72.568
33,70.056
34,65.696
35,76.85
36,76.512
37,77.962
38,75.504
39,86.694
40,75.08
41,85.902
42,87.336
43,95.966
44,93.288
45,98.58
46,89.848
47,89.95
48,95.928
49,99.726
50,110.7
51,101.634
52,116.88
53,117.056
54,117.588
55,114.54
56,121.048
57,113.466
58,114.708
59,111.56
60,130.56
61,132.442
62,133.572
63,128.496
64,133.176
65,132.35
66,128.004
67,149.596
68,143.352
69,142.38
70,139.64
71,138.752
72,141.384
73,160.826
74,156.772
75,142.95
76,154.392
77,154.382
78,143.4
79,164.634
80,161.08
81,165.81
82,158.308
83,180.62
84,184.44
85,179.63
86,184.46
87,183.612
88,165.976
89,177.796
90,170.76
91,201.562
92,180.56
93,174.306
94,172.952
95,190.91
96,186.36
97,214.46
98,199
99,193.08
